Date,Habit,Trigger,Severity,Duration,Result,Time_of_Day,Notes
2025-11-10,Social Media,Loneliness,9,76,Fail,Night,Very isolated feeling
2025-11-11,Phone Overuse,Boredom,7,54,Fail,Afternoon,Time wasting
2025-11-11,Smoking,Trigger,9,14,Fail,Evening,Environmental cue
2025-11-11,Gaming,Social,6,44,Fail,Night,Friends playing
2025-11-12,Social Media,Habit,5,21,Success,Morning,Quick check
2025-11-12,Junk Food,Stress,7,23,Fail,Evening,Comfort eating
2025-11-12,Phone Overuse,FOMO,7,50,Fail,Evening,Fear of missing
2025-11-13,Gaming,Avoidance,8,78,Fail,Night,Escaping reality
2025-11-13,Social Media,Comparison,7,48,Fail,Afternoon,Jealousy
2025-11-13,Smoking,Social,9,16,Fail,Evening,Group pressure
2025-11-14,Phone Overuse,Anxiety,8,70,Fail,Night,Doomscrolling
2025-11-14,Junk Food,Emotional,7,22,Fail,Night,Sad eating
2025-11-14,Gaming,Reward,3,24,Success,Evening,Controlled
2025-11-15,Social Media,Loneliness,8,74,Fail,Night,Lonely feeling
2025-11-15,Phone Overuse,Procrastination,9,94,Fail,Afternoon,Major avoidance
2025-11-15,Smoking,Stress,8,10,Fail,Afternoon,High pressure
2025-11-16,Gaming,Escape,9,112,Fail,Night,Marathon session
2025-11-16,Junk Food,Boredom,5,15,Success,Evening,Good choice
2025-11-16,Social Media,FOMO,8,64,Fail,Night,Missing out
2025-11-17,Phone Overuse,Morning Routine,6,36,Fail,Morning,Bad start
2025-11-17,Smoking,Routine,7,7,Fail,Morning,Morning habit
2025-11-17,Gaming,Social,5,34,Success,Evening,Set limits
2025-11-18,Social Media,Comparison,8,58,Fail,Night,Everyone better off
2025-11-18,Junk Food,Stress,7,25,Fail,Evening,Stress relief
2025-11-18,Phone Overuse,Boredom,7,56,Fail,Night,Nothing to do
2025-11-19,Gaming,Avoidance,8,84,Fail,Night,Avoiding problems
2025-11-19,Social Media,Habit,4,18,Success,Morning,Brief check
2025-11-19,Smoking,Trigger,9,13,Fail,Afternoon,Stress trigger
2025-11-20,Phone Overuse,Anxiety,8,72,Fail,Night,Anxious about everything
2025-11-20,Junk Food,Celebration,6,20,Fail,Evening,Midweek treat
2025-11-20,Gaming,Escape,9,102,Fail,Night,Lost in game
2025-11-21,Social Media,Loneliness,9,82,Fail,Night,Extremely lonely
2025-11-21,Phone Overuse,FOMO,7,52,Fail,Evening,What's happening
2025-11-21,Smoking,Social,8,12,Fail,Evening,Social gathering
2025-11-22,Gaming,Social,5,32,Success,Evening,Good control
2025-11-22,Junk Food,Emotional,7,23,Fail,Night,Emotional eating
2025-11-22,Social Media,Comparison,8,60,Fail,Night,Others' lives
2025-11-23,Phone Overuse,Morning Routine,6,38,Fail,Morning,Phone dependency
2025-11-23,Smoking,Stress,8,11,Fail,Afternoon,Work pressure
2025-11-23,Gaming,Reward,3,25,Success,Evening,Earned it
2025-11-24,Social Media,Boredom,6,38,Fail,Afternoon,Mindless scrolling
2025-11-24,Phone Overuse,Habit,4,19,Success,Morning,Maintained control
2025-11-24,Junk Food,Stress,7,26,Fail,Evening,Holiday stress
2025-11-25,Gaming,Avoidance,8,80,Fail,Night,Escaping family stress
2025-11-25,Social Media,FOMO,8,66,Fail,Night,Everyone's plans
2025-11-25,Smoking,Routine,7,8,Fail,Morning,Automatic
2025-11-26,Phone Overuse,Anxiety,7,48,Fail,Evening,News anxiety
2025-11-26,Junk Food,Celebration,6,22,Fail,Evening,Holiday treats
2025-11-26,Gaming,Escape,9,106,Fail,Night,Holiday escape
2025-11-27,Social Media,Loneliness,8,78,Fail,Night,Isolated feeling
2025-11-27,Phone Overuse,Boredom,7,58,Fail,Afternoon,Time killing
2025-11-27,Smoking,Trigger,9,15,Fail,Evening,Family stress
2025-11-28,Gaming,Social,5,36,Success,Evening,Set boundaries
2025-11-28,Junk Food,Emotional,7,24,Fail,Night,Comfort eating
2025-11-28,Social Media,Comparison,8,62,Fail,Night,Holiday comparison
2025-11-29,Phone Overuse,Procrastination,9,96,Fail,Afternoon,Avoiding work
2025-11-29,Smoking,Social,9,17,Fail,Evening,Group setting
2025-11-29,Gaming,Escape,9,114,Fail,Night,Deep escape
2025-11-30,Social Media,Habit,5,22,Success,Morning,Quick check
2025-11-30,Junk Food,Stress,7,27,Fail,Evening,Month-end stress
2025-11-30,Phone Overuse,FOMO,7,54,Fail,Night,Missing events
2025-12-01,Gaming,Reward,4,28,Success,Evening,Balanced
2025-12-01,Social Media,Loneliness,8,80,Fail,Night,Very lonely
2025-12-01,Smoking,Stress,8,12,Fail,Afternoon,New month pressure
2025-12-02,Phone Overuse,Anxiety,7,50,Fail,Evening,Worried scrolling
2025-12-02,Junk Food,Boredom,5,16,Success,Evening,Good choice
2025-12-02,Gaming,Avoidance,8,86,Fail,Night,Avoiding reality
2025-12-03,Social Media,Comparison,8,64,Fail,Night,Others ahead
2025-12-03,Phone Overuse,Morning Routine,6,40,Fail,Morning,Phone addiction
2025-12-03,Smoking,Routine,7,9,Fail,Morning,Morning cigarette
2025-12-04,Gaming,Social,5,38,Success,Evening,Controlled session
2025-12-04,Junk Food,Stress,7,28,Fail,Evening,Stress eating
2025-12-04,Social Media,FOMO,8,68,Fail,Night,Missing out anxiety
2025-12-05,Phone Overuse,Boredom,7,60,Fail,Night,YouTube binge
2025-12-05,Smoking,Trigger,9,14,Fail,Afternoon,Stress cue
2025-12-05,Gaming,Escape,9,108,Fail,Night,Lost in gaming
